x;y;RSSI A;RSSI B;RSSI C;RSSI D;RSSI E
1;0.9;-92;-68.52476083;-62.07203151;-92;-92
3;0.9;-92;-92;-65.34173442;-92;-92
5;0.9;-92;-82.57881427;-61.2481034;-92;-85.73363304
1;2.7;-92;-71.71268865;-61.18138625;-92;-84.35159307
3;2.7;-92;-79.35414885;-62.39435415;-92;-85.78214999
5;2.7;-92;-73.70409292;-61.47040929;-92;-90.64186947
1;4.5;-92;-73.33487032;-63.23602305;-92;-92
3;4.5;-92;-73.02742857;-64.1;-92;-83.42
5;4.5;-92;-70.01950404;-63.23683477;-92;-91.78712733
1;6.3;-92;-69.6934;-64.239;-92;-92
3;6.3;-92;-66.95833333;-69.6258;-92;-92
5;6.3;-92;-63.63961486;-63.57303989;-92;-92
1;8.1;-92;-63.42118502;-61.10340973;-92;-92
3;8.1;-92;-62.70284168;-64.29878214;-92;-92
5;8.1;-92;-62.58786031;-70.29240576;-92;-92
3.61;9.75;-92;-65.07212205;-83.44909847;-92;-64.73148405
3.61;11.25;-92;-84.47558969;-84.04772353;-92;-63.00850247
5.03;9.75;-92;-69.16939891;-78.21666667;-92;-62.92513661
5.03;11.25;-92;-68.97071248;-80.96029288;-92;-62.55054914
6.45;9.75;-92;-76.61990828;-91.70272458;-92;-62.65254923
6.45;11.25;-92;-71.38839779;-92;-92;-63.7218232
7.87;9.75;-92;-89.92213449;-64.92812415;-92;-65.53852437
7.87;11.25;-92;-78.61353054;-66.68145714;-92;-65.3818132
9.29;9.75;-92;-77.59832523;-92;-92;-70.65829281
9.29;11.25;-92;-92;-62.77623927;-92;-74.03018554
11.28;10.45;-92;-90.12540805;-65.66621328;-92;-78.8117519
13.84;10.45;-92;-92;-68.11329916;-92;-75.40949555
16.4;10.45;-92;-92;-70.17440605;-92;-75.65091793
18.96;10.45;-92;-92;-81.16315933;-92;-67.57584039
11.28;12.35;-92;-87.02858684;-92;-92;-67.65695793
13.84;12.35;-92;-92;-92;-92;-55.62213333
16.4;12.35;-92;-92;-92;-92;-53.968
18.96;12.35;-92;-92;-68.18433931;-92;-73.42659054
11.28;14.25;-92;-92;-75.4611413;-92;-66.2861413
13.84;14.25;-70.54828918;-92;-92;-92;-68.8236755
16.4;14.25;-75.69751301;-92;-78.23770966;-92;-72.68392134
18.96;14.25;-92;-92;-75.58551363;-92;-74.11264115
11.28;16.15;-90.48342012;-92;-73.52808989;-92;-70.37599342
13.84;16.15;-71.04788575;-92;-72.80257631;-92;-63.9658359
16.4;16.15;-71.03198415;-92;-72.89895273;-92;-68.09029154
18.96;16.15;-71.20826259;-92;-73.84125637;-92;-70.32880589
20.89;11.95;-65.41508364;-92;-72.37567338;-76.69294018;-80.01757868
22.19;11.95;-67.11089165;-92;-71.87302483;-74.39700903;-64.49887133
23.49;11.95;-65.15957447;-92;-72.10149511;-74.26854514;-63.70299022
24.79;11.95;-71.89458525;-92;-76.42684332;-70.61463134;-64.31768433
26.09;11.95;-75.96573996;-92;-77.79303566;-67.76467284;-64.83600112
27.39;11.95;-73.47035794;-92;-76.35430649;-63.75782998;-66.72147651
28.69;11.95;-76.59795861;-92;-78.67479444;-64.52339098;-67.57641055
29.99;11.95;-74.07802013;-92;-79.24189038;-64.24972036;-70.98126398
23.4;9.85;-70.86787709;-92;-92;-61.99441341;-74.84050279
25.4;9.85;-63.06078108;-92;-92;-64.17519252;-72.23569857
27.4;9.85;-62.13888123;-92;-92;-61.63268118;-74.14521907
23.4;7.75;-70.63542825;-92;-92;-63.71885428;-76.40322581
25.4;7.75;-64.41230769;-92;-92;-61.61762238;-78.55384615
27.4;7.75;-60.87171689;-92;-92;-62.64639204;-75.70417473
23.4;5.65;-63.467454;-92;-92;-62.04119747;-84.80280143
25.4;5.65;-69.55264579;-92;-92;-62.60961123;-92
27.4;5.65;-62.44407622;-92;-92;-63.54515327;-92
23.4;3.55;-66.4368261;-92;-92;-69.16311861;-92
25.4;3.55;-62.50549451;-92;-92;-64.25631868;-92
27.4;3.55;-63.20407025;-92;-92;-65.25564539;-92
23.4;1.45;-65.22723428;-92;-92;-67.6594305;-92
25.4;1.45;-67.87859079;-92;-92;-61.31273713;-92
27.4;1.45;-80.18476499;-92;-92;-61.53052404;-91.70070232
16;18.05;-73.9684633;-92;-80.63446101;-92;-68.31966743
18.56;18.05;-70.38939567;-92;-80.3440707;-92;-63.50798176
16;19.95;-72.77972239;-92;-84.41732046;-92;-63.46348823
18.56;19.95;-76.0205518;-92;-92;-92;-62.39949324
18.56;8.55;-75.99945711;-92;-92;-92;-63.21986971
18.56;6.65;-92;-85.92391899;-92;-92;-63.76874658
